artist,genre,album,track,popularity,release_year,duration_ms,tempo,key,mode,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence
Ramones,punk,Ramones (40th Anniversary Deluxe Edition; 2016 Remaster),"Judy Is a Punk - Live at the Roxy, Hollywood, CA, 8/12/76; Set 2",13,1976,82333,195.9409943,3,1,0.257999986,0.998000026,-2.269999981,0.063000001,0.050099999,1.42E-05,0.372000009,0.273999989
Ramones,punk,Ramones (40th Anniversary Deluxe Edition; 2016 Remaster),"I Don't Wanna Walk Around with You - Live at the Roxy, Hollywood, CA, 8/12/76; Set 2",12,1976,91507,198.0829926,2,1,0.314999998,0.995999992,-2.809999943,0.185000002,0.020300001,0.402999997,0.419,0.335000008
Ramones,punk,Ramones (40th Anniversary Deluxe Edition; 2016 Remaster),"Today Your Love, Tomorrow the World - Live at the Roxy, Hollywood, CA, 8/12/76; Set 2",13,1976,138400,97.46099854,9,1,0.282000005,0.995000005,-3.950000048,0.157000005,0.00457,0.065899998,0.941999972,0.063500002
Ramones,punk,Ramones (40th Anniversary Deluxe Edition; 2016 Remaster),Beat on the Brat - 2016 Remaster,54,1976,151960,156.8589935,4,1,0.481000006,0.879999995,-1.10800004,0.175999999,0.00305,0.64200002,0.129999995,0.961000025
Ramones,punk,Ramones (40th Anniversary Deluxe Edition; 2016 Remaster),Chain Saw - 40th Anniversary Mono Mix,23,1976,113867,183.5050049,9,1,0.273999989,0.986999989,0.150000006,0.120999999,0.014,0,0.768000007,0.742999971
Ramones,punk,Ramones (40th Anniversary Deluxe Edition; 2016 Remaster),"Let's Dance - Live at the Roxy, Hollywood, CA 8/12/76; Set 2",19,1976,122693,199.322998,7,1,0.344000012,0.984000027,-4.071000099,0.097900003,0.072700001,0.000979,0.699000001,0.416000009
Ramones,punk,Ramones (40th Anniversary Deluxe Edition; 2016 Remaster),Judy Is a Punk - 2016 Remaster,51,1976,92480,179.5509949,3,1,0.231999993,0.865999997,-1.379999995,0.050299998,0.0801,0.096199997,0.234999999,0.722000003
Ramones,punk,Ramones (40th Anniversary Deluxe Edition; 2016 Remaster),I Wanna Be Your Boyfriend - 2016 Remaster,47,1976,144307,133.6940002,4,1,0.501999974,0.837000012,-3.184000015,0.0288,0.00211,1.38E-05,0.119999997,0.676999986
Ramones,punk,Ramones (40th Anniversary Deluxe Edition; 2016 Remaster),Chain Saw - 2016 Remaster,36,1976,116413,183.0670013,9,1,0.287,0.935000002,-1.843999982,0.135000005,0.00595,0,0.463999987,0.708999991
Ramones,punk,Ramones (40th Anniversary Deluxe Edition; 2016 Remaster),Now I Wanna Sniff Some Glue - 2016 Remaster,42,1976,95973,176.8170013,9,0,0.218999997,0.684000015,-2.661000013,0.073899999,0.000423,0.000421,0.177000001,0.709999979
